Category,Subcategory,Supplier,Brand,Region,Year,Month,Units Month, Values Month ,Column1
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,5,10080," $60,330.00 "," $60,330.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,6,9190," $55,050.00 "," $55,050.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,7,9430," $56,520.00 "," $56,520.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,8,7960," $47,700.00 "," $47,700.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,9,9110," $54,500.00 "," $54,500.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,10,9720," $58,230.00 "," $58,230.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,11,7430," $44,480.00 "," $44,480.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,12,8040," $48,180.00 "," $48,180.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,1,8170," $48,950.00 "," $48,950.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,2,7240," $43,390.00 "," $43,390.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,3,10530," $63,090.00 "," $63,090.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,4,8930," $53,510.00 "," $53,510.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,5,7250," $43,460.00 "," $43,460.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,6,8700," $52,140.00 "," $52,140.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,7,7170," $42,940.00 "," $42,940.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,8,7880," $47,160.00 "," $47,160.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,9,7330," $43,910.00 "," $43,910.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,10,8500," $50,920.00 "," $50,920.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,11,7210," $43,200.00 "," $43,200.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,12,8770," $52,550.00 "," $52,550.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,1,8950," $53,620.00 "," $53,620.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,2,6990," $41,850.00 "," $41,850.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,3,8110," $48,550.00 "," $48,550.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,4,7240," $43,370.00 "," $43,370.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,5,6700," $40,120.00 "," $40,120.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,6,7310," $43,810.00 "," $43,810.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,7,7390," $44,260.00 "," $44,260.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,8,6720," $40,240.00 "," $40,240.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,9,7110," $42,580.00 "," $42,580.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,10,7480," $44,810.00 "," $44,810.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,11,6100," $36,560.00 "," $36,560.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,12,7480," $44,810.00 "," $44,810.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,1,6660," $39,930.00 "," $39,930.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,2,6070," $36,340.00 "," $36,340.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,3,6850," $41,030.00 "," $41,030.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,4,6310," $37,800.00 "," $37,800.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,5,6270," $37,520.00 "," $37,520.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,6,7440," $44,580.00 "," $44,580.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,7,5420," $32,480.00 "," $32,480.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,8,6570," $39,300.00 "," $39,300.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,9,4930," $29,550.00 "," $29,550.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,10,4660," $28,660.00 "," $28,660.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,11,3460," $23,720.00 "," $23,720.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,12,2930," $20,120.00 "," $20,120.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2023,1,4310," $29,790.00 "," $29,790.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2023,2,5630," $38,970.00 "," $38,970.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2023,3,5660," $39,270.00 "," $39,270.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,1,10910," $59,250.00 "," $59,250.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,2,9650," $52,380.00 "," $52,380.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,3,11350," $61,660.00 "," $61,660.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,4,10870," $59,010.00 "," $59,010.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,5,11990," $65,080.00 "," $65,080.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,6,10610," $57,630.00 "," $57,630.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,7,10900," $59,170.00 "," $59,170.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,8,9390," $50,990.00 "," $50,990.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,9,8860," $48,130.00 "," $48,130.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,10,10170," $55,200.00 "," $55,200.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,11,9260," $50,290.00 "," $50,290.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,12,10310," $55,960.00 "," $55,960.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,1,10290," $61,640.00 "," $61,640.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,2,8720," $52,260.00 "," $52,260.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,3,8750," $52,360.00 "," $52,360.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,4,8970," $53,680.00 "," $53,680.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,5,10090," $60,430.00 "," $60,430.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,6,9160," $54,870.00 "," $54,870.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,7,8920," $53,460.00 "," $53,460.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,8,7950," $47,590.00 "," $47,590.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,9,9130," $54,650.00 "," $54,650.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,10,9090," $54,500.00 "," $54,500.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,11,8320," $49,830.00 "," $49,830.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2019,12,7170," $42,940.00 "," $42,940.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,1,9510," $56,950.00 "," $56,950.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,2,8580," $51,400.00 "," $51,400.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,3,9210," $55,150.00 "," $55,150.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,4,9710," $58,170.00 "," $58,170.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,5,8700," $52,090.00 "," $52,090.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,6,8440," $50,620.00 "," $50,620.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,7,9010," $53,980.00 "," $53,980.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,8,6450," $38,660.00 "," $38,660.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,9,8040," $48,140.00 "," $48,140.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,10,8820," $52,820.00 "," $52,820.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,11,8270," $49,540.00 "," $49,540.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2020,12,8360," $50,090.00 "," $50,090.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,1,8490," $50,870.00 "," $50,870.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,2,7360," $44,080.00 "," $44,080.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,3,7460," $44,660.00 "," $44,660.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,4,8910," $53,390.00 "," $53,390.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,5,7490," $44,890.00 "," $44,890.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,6,7520," $45,060.00 "," $45,060.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,7,8200," $49,100.00 "," $49,100.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,8,7780," $46,650.00 "," $46,650.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,9,7490," $44,860.00 "," $44,860.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,10,7990," $47,890.00 "," $47,890.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,11,6780," $40,610.00 "," $40,610.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2021,12,8170," $48,930.00 "," $48,930.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,1,7000," $41,950.00 "," $41,950.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,2,7460," $44,680.00 "," $44,680.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,3,8030," $48,110.00 "," $48,110.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,4,6830," $40,960.00 "," $40,960.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,5,7390," $44,290.00 "," $44,290.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,6,7610," $45,560.00 "," $45,560.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,7,7030," $42,120.00 "," $42,120.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,8,5880," $35,260.00 "," $35,260.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,9,4800," $28,730.00 "," $28,730.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,10,3350," $20,450.00 "," $20,450.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,11,2210," $15,180.00 "," $15,180.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2022,12,1750," $12,010.00 "," $12,010.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2023,1,4310," $29,820.00 "," $29,820.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2023,2,5570," $38,540.00 "," $38,540.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2023,3,5790," $40,100.00 "," $40,100.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,1,6920," $37,540.00 "," $37,540.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,2,6790," $36,850.00 "," $36,850.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,3,8100," $43,940.00 "," $43,940.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,4,5200," $28,230.00 "," $28,230.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,5,6630," $35,970.00 "," $35,970.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,6,7450," $40,430.00 "," $40,430.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,7,4090," $22,180.00 "," $22,180.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,8,3820," $20,770.00 "," $20,770.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,9,6120," $33,200.00 "," $33,200.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,10,6160," $33,480.00 "," $33,480.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,11,7020," $38,120.00 "," $38,120.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2018,12,5440," $29,540.00 "," $29,540.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,1,6830," $40,910.00 "," $40,910.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,2,5020," $30,010.00 "," $30,010.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,3,5120," $30,660.00 "," $30,660.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,4,5270," $31,590.00 "," $31,590.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,5,5360," $32,130.00 "," $32,130.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,6,5720," $34,290.00 "," $34,290.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,7,4120," $24,670.00 "," $24,670.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,8,3380," $20,270.00 "," $20,270.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,9,4530," $27,140.00 "," $27,140.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,10,4960," $29,710.00 "," $29,710.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,11,4890," $29,260.00 "," $29,260.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2019,12,4510," $26,970.00 "," $26,970.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,1,4140," $24,800.00 "," $24,800.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,2,3940," $23,570.00 "," $23,570.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,3,3980," $23,840.00 "," $23,840.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,4,3860," $23,100.00 "," $23,100.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,5,4380," $26,240.00 "," $26,240.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,6,5120," $30,700.00 "," $30,700.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,7,3450," $20,690.00 "," $20,690.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,8,3260," $19,520.00 "," $19,520.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,9,4600," $27,540.00 "," $27,540.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,10,4330," $25,960.00 "," $25,960.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,11,3350," $20,030.00 "," $20,030.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2020,12,3390," $20,340.00 "," $20,340.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,1,3520," $21,090.00 "," $21,090.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,2,3850," $23,050.00 "," $23,050.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,3,4110," $24,640.00 "," $24,640.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,4,4030," $24,120.00 "," $24,120.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,5,3210," $19,190.00 "," $19,190.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,6,5170," $30,920.00 "," $30,920.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,7,3340," $19,990.00 "," $19,990.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,8,3310," $19,870.00 "," $19,870.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,9,3510," $21,050.00 "," $21,050.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,10,3640," $21,810.00 "," $21,810.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,11,3350," $20,050.00 "," $20,050.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2021,12,3920," $23,470.00 "," $23,470.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,1,4310," $25,810.00 "," $25,810.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,2,3700," $22,150.00 "," $22,150.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,3,4120," $24,710.00 "," $24,710.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,4,4150," $24,870.00 "," $24,870.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,5,3730," $22,370.00 "," $22,370.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,6,4450," $26,640.00 "," $26,640.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,7,3200," $19,170.00 "," $19,170.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,8,3010," $18,060.00 "," $18,060.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,9,2560," $15,340.00 "," $15,340.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,10,1990," $12,140.00 "," $12,140.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,11,1740," $11,900.00 "," $11,900.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2022,12,830," $5,720.00 "," $5,720.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2023,1,2150," $14,950.00 "," $14,950.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2023,2,2100," $14,480.00 "," $14,480.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,South,2023,3,2500," $17,330.00 "," $17,330.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,1,24570," $152,340.00 "," $152,340.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,2,17270," $107,120.00 "," $107,120.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,3,23310," $144,530.00 "," $144,530.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,4,12430," $77,110.00 "," $77,110.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,5,22130," $137,220.00 "," $137,220.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,6,22950," $142,250.00 "," $142,250.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,7,23980," $148,670.00 "," $148,670.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,8,21100," $130,810.00 "," $130,810.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,9,22790," $141,310.00 "," $141,310.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,10,24020," $148,920.00 "," $148,920.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,11,20000," $123,960.00 "," $123,960.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2018,12,22520," $152,320.00 "," $152,320.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,1,19950," $145,690.00 "," $145,690.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,2,17990," $131,370.00 "," $131,370.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,3,20400," $148,970.00 "," $148,970.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,4,20120," $146,900.00 "," $146,900.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,5,20990," $153,180.00 "," $153,180.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,6,18190," $132,830.00 "," $132,830.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,7,16160," $118,010.00 "," $118,010.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,8,16500," $120,440.00 "," $120,440.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,9,19860," $145,050.00 "," $145,050.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,10,16690," $121,880.00 "," $121,880.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,11,16380," $119,570.00 "," $119,570.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2019,12,17060," $124,580.00 "," $124,580.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,1,17060," $124,510.00 "," $124,510.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,2,16190," $118,200.00 "," $118,200.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,3,21660," $158,080.00 "," $158,080.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,4,15280," $111,540.00 "," $111,540.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,5,14810," $108,090.00 "," $108,090.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,6,18410," $134,340.00 "," $134,340.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,7,18960," $138,340.00 "," $138,340.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,8,14140," $103,190.00 "," $103,190.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,9,15460," $112,820.00 "," $112,820.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,10,16460," $120,130.00 "," $120,130.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,11,15840," $115,610.00 "," $115,610.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2020,12,16580," $121,030.00 "," $121,030.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,1,14690," $107,210.00 "," $107,210.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,2,12860," $93,840.00 "," $93,840.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,3,16120," $117,690.00 "," $117,690.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,4,14910," $108,860.00 "," $108,860.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,5,15110," $110,330.00 "," $110,330.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,6,17400," $126,960.00 "," $126,960.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,7,16030," $117,040.00 "," $117,040.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,8,13890," $101,380.00 "," $101,380.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,9,14710," $107,380.00 "," $107,380.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,10,14660," $107,040.00 "," $107,040.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,11,15290," $111,600.00 "," $111,600.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2021,12,16640," $121,430.00 "," $121,430.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,1,15920," $116,180.00 "," $116,180.00 "
Shampoo,Anti-dandruff,AquaSolutions,Oasis,Center,2022,2,13170," $96,160.00 "," $96,160.00 "
